Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,200.49,201.03,198.59,201.02,222353500,180.11,0.0,180.11,180.11
2016-01-05,2016,1,5,Tuesday,01,2016-01,201.4,201.9,200.05,201.36,110845800,180.42,0.001691479150482067,180.265,180.265
2016-01-06,2016,1,6,Wednesday,01,2016-01,198.34,200.06,197.6,198.82,152112600,178.14,-0.012614349522439228,179.55666666666664,179.55666666666664
2016-01-07,2016,1,7,Thursday,01,2016-01,195.33,197.44,193.59,194.05,213436100,173.87,-0.02399139471502698,178.135,178.135
2016-01-08,2016,1,8,Friday,01,2016-01,195.19,195.85,191.58,191.92,209817200,171.96,-0.010976520971260562,176.9,176.9
2016-01-11,2016,1,11,Monday,02,2016-02,193.01,193.41,189.82,192.11,187941300,172.13,0.0009899267235937703,176.10500000000002,176.10500000000002
2016-01-12,2016,1,12,Tuesday,02,2016-02,193.82,194.55,191.14,193.66,172330500,173.52,0.008068221437419032,175.7357142857143,175.7357142857143
2016-01-13,2016,1,13,Wednesday,02,2016-02,194.45,194.86,188.38,188.83,221168900,169.19,-0.02494052775963329,174.9175,174.9175
2016-01-14,2016,1,14,Thursday,02,2016-02,189.55,193.26,187.66,191.93,240795600,171.97,0.016416914891276058,174.59,174.59
2016-01-15,2016,1,15,Friday,02,2016-02,186.77,188.76,185.52,187.81,324846400,168.28,-0.021466165186704522,173.959,173.959
2016-01-19,2016,1,19,Tuesday,03,2016-03,189.96,190.11,186.2,188.06,195244400,168.5,0.001331044409677018,173.46272727272728,173.46272727272728
2016-01-20,2016,1,20,Wednesday,03,2016-03,185.03,187.5,181.02,185.65,286547800,166.34,-0.012815247787688389,172.86916666666664,172.86916666666664
2016-01-21,2016,1,21,Thursday,03,2016-03,186.21,188.87,184.64,186.69,195772900,167.27,0.005601969812162544,172.43846153846152,172.43846153846152
2016-01-22,2016,1,22,Friday,03,2016-03,189.78,190.76,188.88,190.52,168319600,170.7,0.020515556200993323,172.31428571428572,172.31428571428572
2016-01-25,2016,1,25,Monday,04,2016-04,189.92,190.15,187.41,187.64,130371700,168.12,-0.015116587870563691,171.45785714285714,172.03466666666665
2016-01-26,2016,1,26,Tuesday,04,2016-04,188.42,190.53,188.02,190.2,141036800,170.42,0.013643064533505056,170.7435714285714,171.93375
2016-01-27,2016,1,27,Wednesday,04,2016-04,189.58,191.56,187.06,188.13,185681700,168.56,-0.010883177817367251,170.05928571428572,171.73529411764707
2016-01-28,2016,1,28,Thursday,04,2016-04,189.96,190.2,187.16,189.11,143798800,169.44,0.005209210270470388,169.74285714285716,171.60777777777778
2016-01-29,2016,1,29,Friday,04,2016-04,190.02,193.88,189.88,193.72,210529300,173.57,0.02437728499336944,169.85785714285717,171.71105263157895
2016-02-01,2016,2,1,Monday,05,2016-05,192.53,194.58,191.84,193.65,136061600,173.51,-0.0003613997307830852,169.95642857142857,171.801
2016-02-02,2016,2,2,Tuesday,05,2016-05,191.96,191.97,189.54,190.16,182564900,170.38,-0.018022171108260765,169.73214285714286,171.73333333333335
2016-02-03,2016,2,3,Wednesday,05,2016-05,191.41,191.78,187.1,191.3,205054900,171.4,0.005995160562172863,169.89000000000001,171.71818181818182
2016-02-04,2016,2,4,Thursday,05,2016-05,190.71,192.75,189.96,191.6,139531800,171.67,0.0015680422066326472,169.8685714285714,171.71608695652174
2016-02-05,2016,2,5,Friday,05,2016-05,190.99,191.67,187.2,187.95,180788300,168.4,-0.01905014163525387,169.87714285714284,171.57791666666665
2016-02-08,2016,2,8,Monday,06,2016-06,185.77,186.12,182.8,185.42,191526700,166.14,-0.013460818118078755,169.7085714285714,171.3604
2016-02-09,2016,2,9,Tuesday,06,2016-06,183.36,186.94,183.2,185.43,184513100,166.14,5.391334169679851e-05,169.69428571428574,171.15961538461536
2016-02-10,2016,2,10,Wednesday,06,2016-06,186.41,188.34,185.12,185.27,148214100,166.0,-0.0008630261663068461,169.60357142857146,170.9685185185185
2016-02-11,2016,2,11,Thursday,06,2016-06,182.34,184.1,181.09,182.86,219058900,163.84,-0.013008141440512211,169.11357142857142,170.71392857142857
2016-02-12,2016,2,12,Friday,06,2016-06,184.96,186.65,183.96,186.63,127632400,167.22,0.020617150128842576,169.04928571428573,170.59344827586207
